id,ingredients
329,"Creme de Cassis, Champagne"
330,"Creme de Cassis, Champagne"
331,"Cranberry vodka, Apfelkorn, Schweppes Russchian, Apple juice, Ice"
332,"Kiwi liqueur, Bitter lemon, Ice"
333,"Kiwi, Papaya"
334,"151 proof rum, Kool-Aid"
335,"Vodka, Amaretto, Sloe gin, Triple sec, Cranberry juice"
336,"Kool-Aid, Vodka"
337,"Absolut Kurant, Tea, Sugar"
338,"Gin, Light cream, Powdered sugar, Lemon, Egg white, Carbonated water"
339,"Yoghurt, Water, Cumin seed, Salt, Mint"
340,"Mango, Yoghurt, Sugar, Water"
341,"Yoghurt, Water, Sugar, Salt, Lemon juice"
342,"Yoghurt, Water, Salt, Asafoetida"
343,"Yoghurt, Ice, Sugar, Lime, Salt"
344,"Absolut Vodka, Cointreau, Lemon"
345,"Galliano, Absolut Citron, Lemon, Sugar, 151 proof rum"
346,"Ginger, Water, Lemon, Sugar, Cayenne pepper"
347,"Lime, Sugar, Soda water, Lime peel"
348,"Corona, Bacardi Limon"
349,"Scotch, Drambuie, Dry Vermouth, Lemon peel"
350,"Gin, Maraschino liqueur, Orange bitters"
351,"Sweet Vermouth, Gin"
352,"Carbonated water, Gin, Dry Vermouth, Powdered sugar, Orange spiral, Lemon peel"
353,"Vodka, Tequila, Light rum, Gin, Coca-Cola, Lemon peel"
354,"Vodka, Light rum, Gin, Tequila, Lemon, Coca-Cola"
355,"Vodka, Lime, Angostura bitters, Tonic water, Ice"
356,"Dark rum, Tia maria"
357,"Beer, Amaretto, Orange juice"
358,"Light rum, Orgeat syrup, Triple sec, Sweet and sour, Cherry"
359,"Malibu rum, Tropicana, Cranberry juice"
360,"Mango, Orange"
361,"Sweet Vermouth, Bourbon, Angostura bitters, Ice, Maraschino cherry, Orange peel"
362,"Tequila, Triple sec, Lime juice, Salt"
363,"Gin, Dry Vermouth, Triple sec, Orange bitters, Cherry"
364,"Gin, Dry Vermouth, Olive"
365,"Light rum, Pineapple juice, Maraschino liqueur, Grenadine, Maraschino cherry"
366,"Water, Tea, Ginger, Cardamom, Cloves, Cinnamon, Black pepper, Sugar, Milk"
367,"Espresso, Honey, Cocoa powder"
368,"151 proof rum, Pina colada mix, Daiquiri mix"
369,"Sugar, Cocoa powder, Salt, Water, Milk, Vanilla extract"
370,"Bourbon, Dark rum, Heavy cream"
371,"Kahlua, Bailey's irish cream, Goldschlager, Heavy cream, Coffee"
372,"Bailey's irish cream, White Creme de Menthe, Cream"
373,"Champagne, Orange juice"
374,"Brandy, Light rum, Bourbon, Lemon, Powdered sugar, Carbonated water"
375,"Coffee, Chambord raspberry liqueur, Cocoa powder, Whipped cream"
376,"Light rum, Lime, Sugar, Mint, Soda water"
377,"Mint, Lemon juice, Dark rum, Club soda, Angostura bitters"
378,"Gin, Benedictine, Orange juice, Grenadine"
379,"Light rum, Grapefruit juice, Bitters"
380,"Absinthe, Tequila, Grenadine"
381,"Vodka, Lime juice, Ginger ale"
382,"Goldschlager, Butterscotch schnapps, Milk"
383,"Southern Comfort, Orange juice, Pepsi Cola"
384,"Water, Sugar, Cloves, Cinnamon, Lemon peel, Red wine, Brandy"
385,"Rum, Vodka, Gin, Blue Curacao, Sour mix, Lemon-lime soda"
386,"Gin, Campari, Sweet Vermouth"
387,"Absolut Citron, Grand Marnier, Lemon juice, Club soda"
388,"Blended whiskey, Lemon, Sugar, Red wine, Lemon, Cherry"
389,"Cocoa powder, Sugar, Vanilla extract, Milk"
390,"Bailey's irish cream, Frangelico, Milk"
391,"Bourbon, Angostura bitters, Sugar, Water"
392,"Vodka, Triple sec, Orange juice"
393,"Cherry brandy, Gin, Orange juice, Ginger ale"
394,"Spiced rum, Grenadine, Orange juice, Sour mix"
395,"Milk, Chocolate, Orange peel, Espresso, Nutmeg"
396,"Orange juice, Rum, Vodka, Cream, Ice"
397,"Lemon juice, Orange juice, Sugar syrup, Soda water"
398,"Vodka, Kahlua, Bailey's irish cream, Vanilla ice-cream, Oreo cookie"
399,"Creme de Cacao, Amaretto, Triple sec, Vodka, Light cream"
